Name CAS A B C D E F G
Xenon 7440-63-3 0,0000 2,5000 2,5000 0,0000 0,0000 0,0000 0,0000
Krypton 7439-90-9 0,0000 2,5000 2,5000 0,0000 0,0000 0,0000 0,0000
Argon 7440-37-1 0,0000 2,5000 2,5000 0,0000 0,0000 0,0000 0,0000
Neon 7440-01-9 0,0000 2,5000 2,5000 0,0000 0,0000 0,0000 0,0000
Helium 7440-59-7 0,0000 2,5000 2,5000 0,0000 0,0000 0,0000 0,0000
Luft 132259-10-0 2548,9320 3,5248 -0,6366 -3,4281 49,8238 -120,3466 98,8658
Wasserstoff 1333-74-0 392,8422 2,4906 -3,6262 -1,9624 35,6197 -81,3691 62,6668
Stickstoff 7727-37-9 432,2027 3,5160 2,8021 -4,1924 42,0153 -114,2500 111,1019
Sauerstoff 7782-44-7 2122,2098 3,5302 -7,1076 -1,4542 30,6057 -83,6696 79,4375
Fluor 7782-41-4 774,7434 3,5724 1,1782 -7,8357 66,9134 -126,3602 84,8592
Chlor 7782-50-5 443,2316 3,4079 0,3974 -2,9833 39,3781 -76,8680 54,8748
Brom 7726-95-6 397,2602 3,4138 1,5597 2,2676 36,9159 -95,8106 76,6528
Iod 7553-56-2 366,5747 3,6859 2,5951 6,9245 30,7878 -102,6339 89,1827
Fluorwasserstoff 7664-39-3 3438,3914 3,5031 2,9592 9,0174 -168,6398 1068,5062 -1578,0575
Chlorwasserstoff 7647-01-0 1638,3959 3,5004 2,9346 8,4727 -98,1948 399,2317 -384,8918
Bromwasserstoff 10035-10-6 1203,5373 3,4970 2,7948 10,7652 -91,1043 274,9226 -208,0079
Iodwasserstoff 10034-85-2 441,4535 3,4542 3,0037 6,5208 -1,2264 -62,0818 106,0830
Cyanwasserstoff 74-90-8 515,6639 4,2813 -4,7794 -8,9029 56,8035 -102,7379 71,0228
Wasser 7732-18-5 706,3032 5,1703 -6,0865 -6,6011 36,2723 -63,0965 46,2085
Schwefelwasserstoff 7783-06-4 1132,4648 4,0398 2,7018 -8,5655 67,3144 -72,9692 42,8369
Ammoniak 7664-41-7 931,6298 4,8468 -7,1757 -7,6727 51,3877 -93,4217 67,9515
Stickstoffmonoxid 10102-43-9 287,2527 2,8998 2,6046 85,3765 -134,9868 -124,2972 275,4122
Stickstoffdioxid 10102-44-0 1102,7744 4,0267 -1,3131 -3,5919 52,4358 -106,3789 75,9808
Distickstoffmonoxid 10024-97-2 617,4643 3,1103 1,2306 6,1055 46,3864 -110,8822 97,5602
Distickstofftetroxid 91913-71-2 337,3088 5,7078 -0,9773 -19,6801 135,9757 -243,3166 160,1653
Dicyan 460-19-5 376,7870 4,4648 -3,8440 -9,8745 79,1176 -152,6285 105,8138
Phosphortrichlorid 7719-12-2 398,1926 4,3525 -0,1531 1,1615 71,8056 -167,9929 123,8929
Silan 13825-90-6 629,0517 4,5596 -2,1197 -12,7035 79,0943 -122,6738 80,9687
Kohlenmonoxid 630-08-0 407,9796 3,5028 2,8524 -2,3018 32,9055 -100,1815 106,1141
Kohlendioxid 124-38-9 514,5073 3,4923 -0,9306 -6,0861 54,1586 -97,5157 70,9687
Kohlensuboxid 504-64-3 631,7238 4,7475 2,2252 5,2648 98,7873 -230,0819 182,8060
Kohlenoxisulfid 463-58-1 543,0047 3,1567 -0,5532 -0,4687 52,1727 -114,4401 89,2277
Phosgen 75-44-5 443,0941 4,0648 -1,2498 -6,3664 77,7307 -151,8155 106,2799
Schwefelkohlenstoff 75-15-0 436,2681 3,2047 -0,1319 0,2557 53,8613 -119,4039 93,1550
Schwefeldioxid 8014-94-6 848,4734 4,1379 -0,0601 -4,0449 56,0276 -109,3350 76,8400
Schwefeltrioxid 7446-11-9 648,4989 3,5687 1,2040 8,5348 57,7911 -128,2153 100,3963
Sulfurylchlorid 7791-25-5 408,3318 3,3807 -0,1149 10,6613 66,5305 -176,9697 146,1224
Schwefelhexafluorid 2551-62-4 524,1686 3,5677 -1,3539 -10,7270 196,7052 -395,4602 263,8890
Methylmercaptan 74-93-1 1407,0543 5,1177 -17,2008 -4,5149 69,3978 -185,7461 168,6903
Ethylmercaptan 75-08-1 2728,1680 6,8872 -201,1551 -1,9961 74,6970 -408,9731 728,6239
Dimethylsulfid 75-18-3 472,3136 11,9843 1,2309 -32,3455 145,0474 -221,3676 136,0872
Diethylsulfid 352-93-2 764,7944 12,8974 7,4937 -68,3733 426,8748 -709,5073 437,1287
Thiophen 110-02-1 1585,4574 5,5875 14,0271 85,1905 -1221,8570 4559,8896 -5488,4600
Fluormethan 593-53-3 1176,9659 4,0143 3,8936 7,5362 27,9098 -97,9809 137,9880
Difluormethan 75-10-5 962,8984 4,3711 -5,4665 -7,5447 71,6125 -131,6434 90,6773
Trifluormethan 75-46-7 809,8615 3,9766 -1,6866 -4,3891 84,4263 -165,5706 115,7209
Tetrafluormethan 75-73-0 666,5894 3,2199 0,9296 19,5008 69,7537 -169,5636 132,1724
Chlormethan 74-87-3 563,6035 6,6853 -8,5011 -13,6955 69,5041 -111,0175 71,4223
Dichlormethan 75-09-2 444,2757 5,5626 -2,8582 -16,0285 90,2509 -150,0431 98,4722
Trichlormethan 67-66-3 432,3855 4,0882 0,0186 -4,9929 91,3991 -181,0173 132,7780
Tetrachlormethan 56-23-5 404,6502 3,9042 1,4383 10,3685 120,5467 -291,2140 219,4177
Brommethan 74-83-9 582,5462 4,7518 -3,2915 -11,6866 71,7139 -119,4291 82,6436
Dibrommethan 74-95-3 441,4487 5,5801 -1,4537 -16,0331 96,3766 -164,1834 108,8416
Tribrommethan 75-25-2 444,2945 5,0879 3,2074 4,1568 101,0388 -218,2270 173,4973
Tetrabrommethan 558-13-4 708,6138 9,1392 6,7159 -4,8212 132,6970 -300,7419 213,9957
Chlordifluormethan 75-45-6 923,7514 3,6501 1,0809 26,3036 33,6589 -138,0860 130,3725
Dichlorfluormethan 75-43-4 448,3265 4,2561 0,0709 -8,4348 93,5761 -171,5023 122,5675
Chlortrifluormethan 75-72-9 530,6755 3,5003 0,9604 6,6125 106,4268 -228,0132 168,3566
Dichlordifluormethan 75-71-8 546,7956 3,4416 1,5333 31,2296 71,5046 -234,2425 204,0779
Trichlorfluormethan 75-69-4 497,5032 4,6223 1,5688 3,0209 115,7598 -261,4310 192,6300
Fluorethan 353-36-6 1291,3906 5,7586 -60,6316 -2,6539 39,8753 -99,0265 86,9333
Chlorethan 75-00-3 613,2333 6,9421 -3,7386 -19,7168 117,1200 -194,1976 126,2574
Bromethan 74-96-4 559,9347 4,6195 -1,4702 -13,3648 114,1759 -202,0764 146,4189
1,1-Dichlorethan 75-34-3 544,1036 7,3477 -0,0939 -23,5320 146,8019 -247,1889 160,4226
1,2-Dichlorethan 107-06-2 405,3433 15,1092 20,1123 78,6790 -267,3812 327,7670 -148,4968
1,2-Dibromethan 106-93-4 520,5231 17,6437 4,0296 -44,3921 193,3612 -293,1946 165,7688
1,1,1-Trifluorethan 420-46-2 787,7535 4,0477 1,6043 27,4029 120,4143 -334,2206 293,7670
1,1,1-Trichlorethan 71-55-6 502,9630 7,5393 1,5858 -21,3038 156,9331 -273,6844 179,7290
1,1,2,2-Tetrachlorethan 79-34-5 593,3413 6,6303 1,6959 -10,3067 157,6395 -309,7356 215,3104
Pentachlorethan 76-01-7 359,0845 5,8297 2,0795 -6,1565 163,1966 -336,2104 248,4292
Hexachlorethan 67-72-1 388,1012 6,1294 1,8568 5,6538 139,7052 -321,6115 237,9069
1,1,2-Trichlortrifluorethan 76-13-1 554,3205 8,6962 2,2845 -10,0887 136,8359 -264,2738 178,3853
1-Chlorpropan 540-54-5 450,2002 17,8443 0,8004 -41,5155 178,9604 -268,0433 153,8763
1-Chlorbutan 109-69-3 499,3815 16,9613 -1,4125 -35,0788 166,1639 -258,1227 155,7875
1-Chlorpentan 543-59-9 634,3626 5,5185 -0,3864 4,5387 128,3503 -260,6794 221,9824
Vinylchlorid 75-01-4 491,7027 10,6121 -5,5113 -24,6400 112,4196 -171,9770 100,5379
1,1-Dichlorethen 75-35-4 483,9491 12,1716 -4,7585 -25,0224 116,3062 -180,1138 104,3240
Trichlorethen 79-01-6 451,8908 8,9582 -1,6449 -21,3433 117,8717 -193,6722 118,0824
Tetrachlorethen 127-18-4 358,9475 4,8891 1,7481 4,5515 104,8901 -235,9012 182,2698
1,1,1,3,3-Pentafluorpropan 460-73-1 565,9298 6,1842 7,1543 -72,4202 -88,5407 97,4987 -203,3653
Fluorbenzol 462-06-6 646,6513 4,7333 -2,1501 -19,1687 195,8215 -342,9686 228,1173
Chlorbenzol 108-90-7 676,0917 20,3111 -6,9381 -36,9151 185,3827 -302,0124 178,2699
Brombenzol 108-86-1 508,8340 20,2369 2,7854 -48,4022 210,5292 -306,5724 167,8627
Iodbenzol 591-50-4 513,7413 18,0569 2,9747 -49,8646 225,0068 -333,4845 185,4410
m-Chlortoluol 108-41-8 789,7233 11,4264 -17,9541 -15,6452 119,6219 -226,4380 155,1910
Benzylchlorid 100-44-7 522,1899 10,7951 -1,5160 -38,6145 205,2761 -324,2009 194,5097
Methan 74-82-8 1530,8043 4,2038 -16,6150 -3,5668 43,0563 -86,5507 65,5986
Ethan 74-84-0 903,4113 4,4815 11,6905 8,4792 -77,0215 122,9766 -74,0600
Propan 74-98-6 1089,3798 4,7246 -1,1767 3,7776 129,3687 -281,4223 216,9425
Butan 106-97-8 668,6492 8,9081 14,2467 41,0466 -258,1830 411,8238 -258,6880
Pentan 109-66-0 789,3078 10,6168 0,9888 -24,2821 191,4972 -315,5929 203,9787
Hexan 110-54-3 752,9844 13,4279 1,5402 -29,6772 208,3733 -342,0902 217,4263
Heptan 142-82-5 785,9090 14,6277 -1,8476 -21,5324 168,6597 -283,0262 181,4694
Oktan 111-65-9 662,4091 20,7046 4,6878 -40,7644 232,4401 -359,1133 215,4126
Nonan 111-84-2 828,9112 18,2983 -7,0327 -19,5401 163,6825 -294,9747 195,6096
Decan 124-18-5 807,8718 20,1071 -3,9883 -22,5527 184,3994 -327,2729 214,1176
Undecan 1120-21-4 527,8639 45,4181 14,2637 -55,4188 248,2431 -370,4082 213,9896
Dodekan 112-40-3 844,1850 21,6766 2,1683 -25,2676 244,7925 -447,8236 295,3902
Tridekan 629-50-5 474,4332 59,5849 22,6875 -66,2783 286,5523 -426,4025 241,9263
Tetradekan 629-59-4 544,0586 42,6709 4,2513 -40,5758 203,7442 -317,2459 194,1666
Pentadekan 629-62-9 499,0399 65,1836 8,3493 -48,4514 218,6957 -332,8050 192,8519
Hexadekan 544-76-3 668,1744 18,2523 2,5022 -4,1518 177,7261 -329,3481 256,6324
Heptadecan 629-78-7 578,0195 45,7412 5,8301 -39,9872 215,2157 -341,8782 213,0248
Oktadekan 593-45-3 536,1229 55,9070 9,8791 -44,9358 222,4113 -345,4429 210,0998
Nonadecan 629-92-5 582,1373 49,4869 10,0892 -42,4034 230,8885 -366,4691 228,9834
Eicosan 112-95-8 566,8372 54,1062 12,4032 -44,8725 237,4861 -374,5789 232,4371
2-Methylpropan 75-28-5 1301,6129 5,3582 -3,2872 14,9841 121,8152 -370,6200 338,4127
2-Methylbutan 78-78-4 796,3567 4,0740 1,8753 88,8118 -8,9551 -19,1416 144,6959
2,2-Dimethylpropan 463-82-1 788,3550 5,1118 0,2138 14,9499 142,6273 -312,3498 289,4580
2-Methylpentan 107-83-5 1104,3653 6,0050 -0,6741 40,9931 79,5055 -276,2953 271,7875
3-Methylpentan 96-14-0 521,3512 13,5283 2,8620 -47,9590 267,2919 -436,4879 284,5608
2,2-Dimethylbutan 75-83-2 516,5015 18,4334 3,0526 -50,8916 257,3425 -416,1133 262,7746
2,3-Dimethylbutan 79-29-8 544,9676 20,1015 -0,2858 -34,4718 167,8659 -253,4422 152,8084
Ethen 74-85-1 765,3491 4,9341 -7,9136 -11,0137 74,3661 -127,7199 86,5313
Propen 115-07-1 1178,86 4,2724 4,788 -97,604 -915,259 2188,504 -1705,77
Buten 106-98-9 479,7773 4,3256 3,2718 58,5093 -95,3387 274,4396 26,8526
Penten 109-67-1 502,0995 16,7161 0,9681 -40,6210 189,9928 -289,8708 173,3031
Hexen 592-41-6 518,3938 4,6055 -0,3015 3,6653 130,7511 -256,1823 235,6529
Hepten 592-76-7 576,1412 24,8325 -1,5064 -36,2342 175,2815 -271,1906 162,1852
Propadien 463-49-0 465,8339 10,5594 -7,2102 -23,6194 112,3287 -177,9108 107,9555
Butadien(1,2) 590-19-2 831,1926 7,9556 -123,6259 -1,1003 16,8009 -32,1157 26,9538
Butadien 106-99-0 504,8693 12,3472 -3,1700 -35,7105 172,8337 -267,9782 156,3704
1,2-Pentadien 591-95-7 502,0836 13,9603 5,1488 -56,7015 270,6766 -417,5797 251,6702
1,3-Pentadien 2004-70-8 472,2185 14,6639 0,2031 -38,6990 182,6697 -283,2016 172,1526
1,4-Pentadien 591-93-5 612,0521 11,1024 -0,1201 -42,4491 249,5228 -421,3161 255,7897
2,3-Pentadien 591-96-8 395,7408 14,3200 2,2651 -43,4952 207,7465 -335,7468 210,2750
Acetylen 74-86-2 484,7405 5,5806 -12,0091 -11,2823 67,5455 -119,9447 79,3902
Methylacetylen 74-99-7 727,9002 6,1061 3,7308 -66,5183 462,2200 -863,7855 588,4012
Dimethylacetylen 503-17-3 435,9800 20,0593 3,1224 -42,6319 171,2131 -248,9928 140,1474
Ethylacetylen 107-00-6 594,1889 8,2395 5,6383 -93,5136 553,0655 -936,2200 602,0223
Cyclopropan 75-19-4 713,7107 5,4496 -10,9497 -15,5049 104,0811 -178,3456 116,5964
